,SPX,BOND,GOLD,OIL,USD
2011-03-01,0.0,0.19999999999999993,0.6000000000000001,0.20000000000000004,0.0
2011-03-02,0.5999999999999999,0.2,0.0,0.20000000000000007,1.1275702593849246e-16
2011-03-03,0.7310873599676327,0.06891264003236729,5.583641188300348e-18,0.20000000000000007,5.204170427930421e-18
2011-03-04,0.5039400264851096,0.06891264003236726,0.22714733348252303,0.20000000000000004,6.938893903907227e-18
2011-03-07,0.8325393132081226,0.06891264003236726,0.0,0.0985480467595101,1.6365212347194864e-17
2011-03-08,0.3199607433826017,0.4527058135689308,0.1287853962889573,0.09854804675951007,1.3877787807814454e-17
2011-03-09,5.551115123125783e-17,0.45270581356893075,0.4487461396715591,0.0985480467595101,1.734723475976807e-17
2011-03-10,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-11,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-14,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-15,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-16,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-17,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-18,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-21,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-22,0.0,0.45270581356893075,0.5472941864310693,2.0816681711721685e-17,0.0
2011-03-23,0.547294186431069,0.4527058135689307,0.0,8.364897476276571e-17,1.4454047927498286e-16
2011-03-24,1.768805584188682e-16,0.9999999999999999,2.951501691193859e-18,2.4907157678875198e-18,0.0
2011-03-25,9.088830810071871e-19,2.0845604112792812e-17,1.0,0.0,0.0
2011-03-28,9.088830810071871e-19,2.0845604112792812e-17,1.0,0.0,0.0
2011-03-29,9.088830810071871e-19,2.0845604112792812e-17,1.0,0.0,0.0
2011-03-30,9.088830810071871e-19,2.0845604112792812e-17,1.0,0.0,0.0
2011-03-31,9.088830810071871e-19,2.0845604112792812e-17,1.0,0.0,0.0
2011-04-01,0.5258716590773382,4.441350481931649e-17,0.47412834092266165,1.6737371037744975e-17,1.5337394982523067e-16
2011-04-04,0.5258716590773382,4.441350481931649e-17,0.47412834092266165,1.6737371037744975e-17,1.5337394982523067e-16
2011-04-05,0.2616563642670429,4.431386290083047e-17,0.7383436357329568,0.0,1.5266748526337614e-16
2011-04-06,0.2616563642670429,0.16531471942471393,0.573028916308243,0.0,1.5182653467537957e-16
2011-04-07,0.2616563642670429,0.16531471942471393,0.573028916308243,0.0,1.5182653467537957e-16
2011-04-08,0.2616563642670429,0.16531471942471393,0.573028916308243,0.0,1.5182653467537957e-16
2011-04-11,0.7297273113733307,0.16531471942471399,0.1049579692019551,4.3814690500931565e-17,2.5494835947011255e-16
2011-04-12,0.6489487017779456,0.16531471942471399,0.1857365787973402,4.3655448306847757e-17,2.529459735828034e-16
2011-04-13,0.6489487017779456,0.16531471942471399,0.1857365787973402,4.3655448306847757e-17,2.529459735828034e-16
2011-04-14,0.6489487017779455,0.1341306130214756,0.18573657879734018,0.03118410640323841,2.529923345591927e-16
2011-04-15,0.6489487017779456,0.13413061302147564,0.1857365787973402,0.031184106403238415,2.5299233455919273e-16
2011-04-18,0.6489487017779455,0.1341306130214756,0.18573657879734018,0.031184106403238408,2.529923345591927e-16
2011-04-19,0.6489487017779456,0.13413061302147564,0.1857365787973402,0.03118410640323841,2.5299233455919273e-16
2011-04-20,0.0,0.13413061302147564,0.834685280575286,0.031184106403238376,0.0
2011-04-21,0.0,0.13413061302147564,0.834685280575286,0.031184106403238376,0.0
2011-04-25,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-04-26,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-04-27,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-04-28,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-04-29,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-05-02,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-05-03,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-05-04,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-05-05,3.9868427370189246e-18,1.0408340855860843e-17,0.9688158935967617,0.031184106403238373,0.0
2011-05-06,3.413484460715e-17,0.4343602174112448,0.02668651092608118,0.14417230278103207,0.39478096888164194
2011-05-09,3.413484460715e-17,0.4343602174112448,0.02668651092608118,0.14417230278103207,0.39478096888164194
2011-05-10,6.182091885527877e-19,0.4343602174112448,6.938893903907228e-18,0.14417230278103207,0.4214674798077231
2011-05-11,6.182091885527877e-19,0.4343602174112448,6.938893903907228e-18,0.14417230278103207,0.4214674798077231
2011-05-12,6.182091885527877e-19,0.4343602174112448,6.938893903907228e-18,0.14417230278103207,0.4214674798077231
2011-05-13,0.0,0.4343602174112448,0.42146747980772314,0.1441723027810321,2.906227875399459e-17
2011-05-16,0.0,0.4343602174112448,0.42146747980772314,0.1441723027810321,2.906227875399459e-17
2011-05-17,0.03502686339798735,0.4343602174112448,0.4324506817406129,0.09816223745015502,3.0241348616572575e-17
2011-05-18,0.03502686339798735,0.4343602174112448,0.4324506817406129,0.09816223745015502,3.0241348616572575e-17
2011-05-19,0.13318910084814234,0.4343602174112448,0.4324506817406129,1.3877787807814457e-17,3.703794098534108e-17
2011-05-20,0.0,0.2933828724891429,0.4324506817406129,0.2741664457702442,0.0
2011-05-23,0.706617127510857,0.2933828724891429,0.0,6.48837078461144e-18,2.9690297275801235e-17
2011-05-24,0.706617127510857,0.2933828724891429,0.0,6.48837078461144e-18,2.9690297275801235e-17
2011-05-25,0.706617127510857,0.2933828724891429,0.0,6.48837078461144e-18,2.9690297275801235e-17
2011-05-26,0.706617127510857,0.15651885208649746,2.169804319948148e-17,0.13686402040264556,2.961959159519266e-18
2011-05-27,1.3565418331108685e-16,0.0,0.4415265029810674,0.5584734970189326,1.2604529010242563e-18
2011-05-31,1.3565418331108685e-16,0.0,0.4415265029810674,0.5584734970189326,1.2604529010242563e-18
2011-06-01,1.3565418331108685e-16,0.0,0.4415265029810674,0.5584734970189326,1.2604529010242563e-18
2011-06-02,0.5584734970189326,1.3244431700153048e-16,0.4415265029810673,1.2097875855639487e-17,0.0
2011-06-03,0.1533409754729018,0.0,0.4415265029810674,0.4051325215460308,0.0
2011-06-06,0.1533409754729018,0.0,0.4415265029810674,0.4051325215460308,0.0
2011-06-07,0.30524570716453286,3.616779399577884e-18,0.4415265029810674,0.2532277898543998,1.5265176490219022e-17
2011-06-08,5.5511151231257815e-17,6.476760079709582e-17,0.7467722101456001,0.25322778985439975,2.0816681711721682e-17
2011-06-09,0.14177815048565692,6.205370723409304e-17,0.7467722101456001,0.11144963936874284,2.8080836267374565e-17
2011-06-10,0.14177815048565692,0.11144963936874297,0.7467722101456001,0.0,2.7755575615628914e-17
2011-06-13,0.09394576682335079,0.11144963936874298,0.7946045938079063,0.0,2.3267995061075633e-17
2011-06-14,0.09394576682335079,0.11144963936874298,0.7946045938079063,0.0,2.3267995061075633e-17
2011-06-15,0.09394576682335079,0.11144963936874298,0.7946045938079063,0.0,2.3267995061075633e-17
2011-06-16,0.09394576682335079,0.11144963936874298,0.7946045938079063,0.0,2.3267995061075633e-17
2011-06-17,0.09394576682335079,0.11144963936874298,0.7946045938079063,0.0,2.3267995061075633e-17
2011-06-20,0.0,2.6020852139652106e-18,0.7946045938079063,0.20539540619209384,0.0
2011-06-21,0.0,2.6020852139652106e-18,0.7946045938079063,0.20539540619209384,0.0
2011-06-22,1.0436839842276106e-18,0.0,0.878823819791084,0.12117618020891588,4.9276616560297575e-18
2011-06-23,2.2817686746223894e-19,1.0969848110545798e-18,0.878823819791084,0.10212568766277641,0.019050492546139573
2011-06-24,2.2817686746223894e-19,1.0969848110545798e-18,0.878823819791084,0.10212568766277641,0.019050492546139573
2011-06-27,0.0,0.0,0.8788212105187059,1.692839769639122e-16,0.12117878948129385
2011-06-28,0.0,1.3215967641524154e-18,0.8788212105187057,0.12117878948129425,0.0
2011-06-29,3.733498628907032e-17,0.3163945185800658,0.6836054814199343,6.490368496666613e-17,0.0
2011-06-30,3.733498628907032e-17,0.3163945185800658,0.6836054814199343,6.490368496666613e-17,0.0
2011-07-01,3.8964486762555996e-17,1.4647245750377886e-16,0.7232736185574291,0.27672638144257067,0.0
2011-07-05,3.8964486762555996e-17,1.4647245750377886e-16,0.7232736185574291,0.27672638144257067,0.0
2011-07-06,0.17270004469511738,0.03535533736391126,0.7232736185574291,0.06867099938354224,4.613163800483146e-17
2011-07-07,0.17270004469511738,0.1040263367474535,0.7232736185574291,0.0,4.49505798282357e-17
2011-07-08,0.17270004469511738,0.1040263367474535,0.7232736185574291,0.0,4.49505798282357e-17
2011-07-11,0.17270004469511738,0.0,0.7232736185574291,0.10402633674745365,0.0
2011-07-12,0.24585141232857188,1.8431436932253575e-17,0.6501222509239745,0.10402633674745367,1.2871636927745164e-17
2011-07-13,0.24585141232857188,1.8431436932253575e-17,0.6501222509239745,0.10402633674745367,1.2871636927745164e-17
2011-07-14,0.24585141232857188,1.8431436932253575e-17,0.6501222509239745,0.10402633674745367,1.2871636927745164e-17
2011-07-15,0.24585141232857188,1.8431436932253575e-17,0.6501222509239745,0.10402633674745367,1.2871636927745164e-17
2011-07-18,0.2458514123285719,0.10402633674745365,0.6501222509239745,1.3877787807814457e-17,1.4849218377290508e-17
2011-07-19,0.2458514123285719,0.10402633674745365,0.6501222509239745,1.3877787807814457e-17,1.4849218377290508e-17
2011-07-20,0.2458514123285719,0.10402633674745365,0.6501222509239745,1.3877787807814457e-17,1.4849218377290508e-17
2011-07-21,0.2458514123285719,0.10402633674745365,0.6501222509239745,1.3877787807814457e-17,1.4849218377290508e-17
2011-07-22,0.12550224767397283,1.387778780781446e-17,0.6501222509239746,0.22437550140205265,1.7347234759768075e-18
2011-07-25,0.1255022476739728,0.22437550140205273,0.6501222509239745,3.8832523161488887e-17,0.0
2011-07-26,0.12550224767397286,0.5717869012760096,0.30271085105001755,2.881527591141349e-17,0.0
2011-07-27,0.12550224767397286,0.5717869012760096,0.30271085105001755,2.881527591141349e-17,0.0
2011-07-28,0.12550224767397286,0.5717869012760096,0.30271085105001755,2.881527591141349e-17,0.0
