,K,dominant_g,p_template_0,p_template_1,p_template_2,p_template_3,p_template_4,p_template_5
2023-05-01,4,2,0.0,5.962539889149296e-07,0.9999994037460112,0.0,0.0,0.0
2023-05-02,4,2,0.0,3.075921580492896e-08,0.9999999692407833,8.059249907285157e-16,0.0,0.0
2023-05-03,4,1,0.0,1.0,4.284272200508911e-19,2.2958718586564715e-22,0.0,0.0
2023-05-04,4,1,0.0,0.9999999788966214,5.524774885583809e-37,2.1103378583845e-08,0.0,0.0
2023-05-05,4,2,0.0,1.4283105739399074e-06,0.999998571689426,5.291112926421615e-18,0.0,0.0
2023-05-08,4,2,0.0,3.1455335409021963e-10,0.9999999996854466,1.2323937796057e-55,0.0,0.0
2023-05-09,4,2,0.0,4.5917181450535536e-11,0.9999999999540828,7.821948103725177e-56,0.0,0.0
2023-05-10,4,1,0.0,0.9999999999961255,0.0,3.8744649220028646e-12,0.0,0.0
2023-05-11,4,2,0.0,1.7959216972010443e-11,0.9999999999820408,0.0,0.0,0.0
2023-05-12,4,2,0.0,4.2358731257618205e-09,0.9999999957641269,1.0096996703736298e-55,0.0,0.0
2023-05-15,6,2,0.0,2.455806409804662e-10,0.9999999997544193,5.1143925484636765e-17,0.0,0.0
2023-05-16,6,2,0.0,1.59658843269965e-12,0.9999999999984035,3.5108709911218873e-37,0.0,0.0
2023-05-17,6,2,0.0,1.9186784416979174e-17,1.0,1.497887870646994e-17,0.0,0.0
2023-05-18,6,1,0.0,0.9999999999993372,6.627488806816128e-13,1.3663626605876362e-29,0.0,0.0
2023-05-19,6,2,0.0,2.33515814902147e-08,0.9999999766484184,3.1561214370825034e-21,0.0,0.0
2023-05-22,6,2,0.0,3.677352275316032e-08,0.999999963226034,4.4317217518155525e-13,0.0,0.0
2023-05-23,6,1,0.0,1.0,4.321161596652035e-26,1.0412765638078401e-23,0.0,4.140575847387803e-124
2023-05-24,6,1,0.0,0.9999999999986926,2.4422497025828635e-35,1.3074900193192529e-12,0.0,0.0
2023-05-25,6,1,0.0,0.9999999999458803,1.585495044968608e-33,5.41197653231648e-11,0.0,0.0
2023-05-26,6,2,0.0,1.369988055316184e-12,0.99999999999863,4.180174859495803e-32,0.0,0.0
2023-05-30,6,1,0.0,1.0,0.0,6.45651704825128e-30,0.0,0.0
2023-05-31,6,2,0.0,1.3336356549325103e-10,0.9999999998666365,2.9411565544283065e-38,0.0,0.0
2023-06-01,6,2,0.0,3.079992245869998e-10,0.9999999996920008,7.539965936236549e-43,0.0,0.0
2023-06-02,6,1,0.0,0.9994267893947818,0.0005732106052181832,9.245800415949573e-30,0.0,0.0
2023-06-05,6,1,0.0,1.0,1.6623096759705516e-20,1.5875814402981042e-31,0.0,0.0
2023-06-06,6,1,0.0,1.0,8.09964995887666e-36,2.049981988177246e-114,0.0,0.0
2023-06-07,6,1,0.0,0.9999999986164314,1.3835686684326459e-09,1.2965813140811265e-21,0.0,0.0
2023-06-08,6,2,0.0,7.11998331851757e-07,0.9999992879771472,2.4520908068334825e-11,0.0,2.413992568277782e-135
2023-06-09,6,1,0.0,0.9999999999970226,2.9774500655921777e-12,1.6958291608348066e-33,0.0,0.0
2023-06-12,6,1,0.0,0.9999999999880917,0.0,1.1908214679282886e-11,0.0,0.0
2023-06-13,4,1,0.0,0.99999193267767,8.067322330025044e-06,1.9472445360383843e-26,0.0,0.0
2023-06-14,4,1,0.0,0.9999999999995373,0.0,4.628022551482749e-13,0.0,0.0
2023-06-15,4,1,0.0,0.9999999999473698,5.2630211467189855e-11,1.3917643390248137e-24,0.0,0.0
2023-06-16,4,1,0.0,1.0,0.0,9.732467313609977e-26,0.0,0.0
2023-06-20,4,2,0.0,6.269872058705662e-05,0.9999373012794129,5.0206759211259607e-51,0.0,0.0
2023-06-21,5,2,0.0,3.6460645272992354e-05,0.999963539354727,4.004058543857517e-24,0.0,0.0
2023-06-22,5,2,0.0,8.050608328950098e-05,0.9999194898402031,4.076507435338791e-09,0.0,0.0
2023-06-23,5,2,0.0,3.279999476146481e-08,0.9999999672000053,5.711240218620683e-38,0.0,0.0
2023-06-26,5,2,0.0,1.2874000153541751e-05,0.9999871259998465,4.1016641027465724e-23,0.0,0.0
2023-06-27,5,2,0.0,0.0008021969746156716,0.9991978030097128,1.567139363829838e-11,0.0,0.0
2023-06-28,6,1,0.0,0.9999999998996904,1.0030968068927001e-10,3.7821186624768e-29,0.0,0.0
2023-06-29,6,1,0.0,0.999999728227631,2.717723690930112e-07,3.3993659894656457e-33,0.0,0.0
2023-06-30,6,1,0.0,0.9999301297072936,6.98702791731885e-05,1.3533463997507241e-11,0.0,0.0
2023-07-03,6,1,0.0,1.0,0.0,1.9551047051652257e-18,0.0,0.0
2023-07-05,6,1,0.0,1.0,0.0,2.9981414451899736e-40,0.0,9.145698348039145e-97
2023-07-06,5,2,0.0,0.005478518757934926,0.9945214812420651,3.1441543051957054e-38,0.0,0.0
2023-07-07,5,1,0.0,0.9999999999977927,2.2073796129537263e-12,7.110436225699775e-69,0.0,5.3249520632561904e-278
2023-07-10,5,1,0.0,0.9999999999996484,3.516559583873385e-13,5.696043727396116e-21,0.0,0.0
2023-07-11,5,1,0.0,0.9999999999996917,0.0,3.0829515941596073e-13,0.0,1.2027938820116685e-234
2023-07-12,5,1,0.0,1.0,2.0852300856174716e-17,3.2822665832671893e-43,0.0,0.0
2023-07-13,6,1,0.0,1.0,6.906730155088685e-30,4.4513084345770475e-19,0.0,0.0
2023-07-14,6,1,0.0,0.9996116579020112,0.00038834209798883245,5.117488772249401e-18,0.0,0.0
2023-07-17,6,1,0.0,0.9999963874368547,3.6125631452310795e-06,3.163256342863642e-32,0.0,0.0
2023-07-18,6,2,0.0,8.518993180050647e-07,0.999999148100682,7.274806049297612e-32,0.0,0.0
2023-07-19,6,1,0.0,0.9999999999997846,1.4165421507394092e-74,2.1541354308171078e-13,0.0,0.0
2023-07-20,4,1,0.0,0.9999998904301795,1.0956982045022272e-07,5.327483620581875e-27,0.0,0.0
2023-07-21,4,1,0.0,0.9999999999999459,5.4053678387591995e-14,0.0,0.0,0.0
2023-07-24,4,2,0.0,0.0005779564312096584,0.9994220435687904,6.463719376905192e-51,0.0,0.0
2023-07-25,4,1,0.0,0.9999999999995768,4.2325864895749776e-13,0.0,0.0,0.0
2023-07-26,4,1,0.0,0.9999999999999969,0.0,3.199477818750972e-15,0.0,0.0
2023-07-27,4,1,0.0,0.9999999999999505,4.956344861622283e-14,0.0,0.0,0.0
2023-07-28,4,1,0.0,0.9999999999999295,7.051004517782022e-14,7.29589763761466e-65,0.0,0.0
2023-07-31,4,1,0.0,0.9999842185619722,1.578143802786051e-05,5.139055928702919e-31,0.0,0.0
2023-08-01,4,1,0.0,0.9999999999997669,2.332060687179597e-13,3.948111777639644e-64,0.0,0.0
2023-08-02,4,1,0.0,0.9999999999988649,1.135145527596026e-12,2.9450857600647554e-62,0.0,0.0
